%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73088.268,297.653,0.855,24.969,266.653,266.244,-13.620,-8.137,-7.056,-6.055,-3.995,-9.757,-10.038,-9.097,-8.038,-5.731,-2.320,-9.028,-2.404,-4.911,-6.633,-8.669,0.000,-31.883,-24.566,1.024,-90.068,-47.360
73092.300,297.650,0.855,24.968,266.653,265.924,-13.188,-8.472,-7.056,-5.951,-3.779,-9.861,-9.504,-8.883,-8.261,-4.481,-2.952,-9.241,-2.300,-4.598,-5.908,-9.119,0.000,-31.826,-24.597,1.029,-90.003,-47.392
73100.362,297.652,0.856,24.970,266.732,265.924,-12.755,-9.029,-7.590,-6.264,-4.210,-9.030,-9.825,-9.204,-7.368,-4.898,-1.898,-9.772,-2.927,-4.284,-6.633,-8.894,0.000,-31.749,-24.607,1.033,-90.036,-47.370
73100.362,297.650,0.856,24.959,266.495,265.924,-13.296,-9.140,-6.949,-6.473,-3.887,-10.068,-10.038,-9.204,-8.819,-5.210,-2.636,-9.241,-1.986,-4.284,-6.011,-9.569,0.000,-31.710,-24.627,1.038,-90.019,-47.381
73096.331,297.652,0.856,24.967,266.653,266.084,-13.296,-8.583,-7.697,-5.951,-3.995,-9.446,-9.611,-9.418,-7.703,-5.836,-2.320,-9.559,-2.718,-4.493,-5.597,-8.331,0.000,-31.691,-24.648,1.042,-90.036,-47.360
73096.331,297.650,0.856,24.971,266.732,266.084,-13.836,-8.360,-7.376,-6.159,-3.455,-9.134,-9.718,-8.776,-7.814,-4.585,-2.320,-9.453,-2.509,-4.807,-6.426,-9.006,0.000,-31.672,-24.648,1.046,-90.019,-47.370
73092.300,297.652,0.855,24.972,266.732,266.084,-13.296,-9.363,-7.590,-5.846,-4.642,-9.653,-10.145,-9.953,-8.372,-5.002,-2.636,-9.984,-2.718,-3.866,-6.944,-9.344,0.000,-31.614,-24.658,1.049,-90.052,-47.349
73092.300,297.650,0.855,24.975,266.811,266.084,-13.404,-9.363,-7.590,-6.055,-3.671,-9.238,-9.825,-9.097,-8.596,-5.315,-2.530,-9.878,-1.882,-3.553,-6.011,-9.232,0.000,-31.575,-24.678,1.051,-90.036,-47.381
73092.300,297.648,0.855,24.968,266.653,266.084,-13.404,-8.249,-8.232,-6.055,-3.779,-9.549,-9.825,-8.776,-6.810,-5.315,-2.636,-8.816,-2.823,-4.598,-6.011,-8.781,0.000,-31.556,-24.678,1.055,-90.036,-47.381
73096.331,297.653,0.856,24.971,266.732,265.764,-13.188,-8.472,-6.521,-5.951,-3.887,-9.134,-10.145,-8.990,-7.814,-4.689,-2.109,-9.134,-2.300,-4.598,-6.219,-8.669,0.000,-31.498,-24.678,1.058,-90.019,-47.381
73092.300,297.650,0.855,24.972,266.732,265.604,-13.512,-8.917,-7.376,-5.742,-3.671,-9.549,-9.611,-9.632,-7.926,-5.106,-2.847,-9.347,-1.882,-3.971,-6.011,-9.119,0.000,-31.479,-24.688,1.058,-90.052,-47.360
73100.362,297.650,0.856,24.970,266.732,265.764,-12.863,-9.475,-7.163,-6.264,-4.426,-9.965,-10.145,-8.990,-8.707,-5.523,-2.741,-10.197,-2.300,-4.389,-6.322,-8.894,0.000,-31.460,-24.688,1.060,-90.052,-47.349
73096.331,297.650,0.856,24.967,266.653,265.764,-12.971,-7.580,-6.949,-5.533,-3.131,-9.861,-9.611,-8.776,-7.368,-5.002,-1.792,-9.134,-3.032,-4.075,-6.322,-9.682,0.000,-31.460,-24.678,1.060,-90.019,-47.381
73088.268,297.655,0.855,24.969,266.653,265.924,-13.404,-8.360,-7.270,-5.637,-3.995,-9.238,-10.252,-9.204,-7.256,-5.523,-2.214,-9.239,-1.673,-4.389,-6.426,-9.006,0.000,-31.441,-24.668,1.060,-90.052,-47.381
73092.300,297.652,0.855,24.972,266.732,265.924,-14.052,-8.360,-6.949,-6.473,-3.455,-9.342,-9.718,-9.525,-8.149,-4.898,-2.847,-9.770,-2.404,-4.493,-6.633,-9.119,0.000,-31.460,-24.637,1.060,-90.052,-47.370
73096.331,297.653,0.856,24.964,266.574,265.604,-13.296,-9.029,-7.163,-5.637,-4.750,-9.653,-10.145,-9.418,-7.926,-5.002,-1.898,-10.620,-2.718,-4.389,-6.737,-8.781,0.000,-31.441,-24.617,1.060,-90.052,-47.392
73096.331,297.653,0.856,24.971,266.732,265.764,-13.296,-8.360,-7.376,-5.742,-3.671,-10.276,-9.931,-9.418,-8.484,-5.002,-2.320,-9.770,-2.509,-4.598,-6.219,-9.569,0.000,-31.441,-24.597,1.059,-90.003,-47.381
73092.300,297.652,0.855,24.972,266.732,265.924,-13.512,-8.360,-7.697,-6.055,-3.995,-9.549,-9.931,-9.311,-7.479,-5.627,-2.530,-9.558,-2.509,-4.284,-6.633,-9.232,0.000,-31.460,-24.566,1.057,-90.036,-47.381
73092.300,297.653,0.855,24.972,266.732,265.604,-13.620,-8.472,-7.270,-6.577,-3.239,-9.653,-9.825,-8.990,-7.591,-4.585,-2.109,-9.345,-2.091,-4.807,-6.322,-8.781,0.000,-31.479,-24.556,1.056,-90.003,-47.360
73100.362,297.652,0.856,24.963,266.574,265.924,-13.080,-9.029,-6.735,-5.533,-4.426,-9.238,-10.038,-10.060,-8.149,-5.106,-2.109,-9.876,-2.927,-4.180,-7.151,-9.682,0.000,-31.479,-24.515,1.054,-90.019,-47.381
73088.268,297.650,0.855,24.972,266.732,265.924,-13.404,-9.363,-7.056,-5.951,-3.455,-9.757,-9.931,-8.883,-8.596,-5.002,-1.476,-10.089,-2.300,-4.284,-6.530,-8.669,0.000,-31.518,-24.485,1.051,-90.019,-47.360
73092.300,297.650,0.855,24.972,266.732,265.924,-12.971,-8.583,-8.018,-6.055,-4.102,-9.653,-9.931,-9.204,-7.703,-5.731,-2.214,-9.558,-3.032,-4.180,-6.426,-8.894,0.000,-31.556,-24.465,1.049,-90.068,-47.360
73096.331,297.652,0.856,24.964,266.574,265.604,-12.971,-8.694,-6.735,-6.368,-4.102,-9.653,-10.359,-9.311,-7.926,-4.898,-2.320,-9.664,-1.777,-5.016,-6.426,-9.006,0.000,-31.575,-24.404,1.046,-90.036,-47.381
73088.268,297.652,0.855,24.969,266.653,265.924,-13.620,-9.363,-7.483,-6.159,-3.779,-9.757,-9.825,-10.595,-7.703,-4.794,-2.952,-9.983,-2.718,-3.866,-6.841,-9.232,0.000,-31.537,-24.373,1.044,-90.019,-47.381
73088.268,297.650,0.855,24.972,266.732,265.444,-12.971,-9.363,-7.590,-5.742,-3.563,-9.342,-10.038,-8.669,-8.261,-4.898,-1.898,-10.301,-2.195,-3.762,-6.115,-8.894,0.000,-31.614,-24.322,1.040,-90.036,-47.381
